exp_id;ind_id;locationName;companyName;description;title;startDate_month;startDate_year;endDate_month;endDate_year;industry;company_empl_low;company_empl_high;title_direction;titleconsulting;titlefounder
10;2;Paris Metropolitan Region;ecs (european communication school);;"Teacher ""New activism, digital advocacy""";10;2021;9;2022;['Nonprofit Organization', 'Management'];2;10;0;0;0
11;2;Paris Metropolitan Region;efap - ecole des nouveaux métiers de la communication;;"Teacher ""Influence and lobbying""";9;2021;9;2022;['Nonprofit Organization', 'Management'];2;10;0;0;0
12;2;Paris Metropolitan Region;change.org;"My team and I, we give people the power to create the change they want to see in the world.

> As part of the global executive team: Development of the strategic vision of member impact, brand strategy, development of technological solutions, governance and team management

> Strategic direction and implementation in France based on global orientations and adapted to the local context around the 3 main goals : impact, sustainability, influence

> Management of a team of 7 people: structuring and recruitment of a new team in 2018, collective and individual growth action plan, performance monitoring and development, well-being at work and culture.

> Development of the impact strategy: implementation of programs to improve the mobilization capacity of our members: community organizing training, individual and collective coaching, support strategies ""at scale"" for petitioners and their support.

> Development of the brand strategy: notoriety, affinity and content (brand platform, 360 communication - press and public relations, digital and social media strategies, events)

> External representation and spokesperson, brand protection: strategy and deployment to institutional, political, media, associative targets and in the tech ecosystem

> Advocacy and influence: deployment of a strategy centered on the recognition of Change.org petitions by political institutions and the development of an institutional output for petitions

> Legal and policy monitoring and orientations : working in collaboration with the global team: reporting and risk assessment, deployment of moderation and data protection policies.";Executive Director;2;2018;10;2021;['Nonprofit Organization', 'Management'];2;10;1;0;0
13;2;;multitudes foundation;Multitudes supports people across Europe to reimagine who holds political power, how it’s exercised and how people connect to it.;Co-directrice;9;2022;0;0;['Nonprofit Organization', 'Management'];2;10;1;0;0
14;2;;sd conseil et formation;"I equip and support those who want to make the world fairer, more equitable, healthy and democratic. For this, I help them to draw on their experiences and values to develop their individual and collective leadership and build effective strategies to change the world.

My areas of expertise: leadership development, individual and collective empowerment, citizen participation, organizing, activism, campaign strategy (campaigning), citizen mobilizations, narrative strategies and strategic communications, storytelling, influence, lobbying and advocacy.

My interventions: conferences, training and workshops, strategic support and consulting

I worked with European Climate Foundation, Article 1, Oxfam France, One campaign, L'alliance citoyenne, Chemins d'avenir, Mutuelles Solimut, Levica, Havas, Orange, Démocratie Ouverte, OPEN network, Datapraxis, Ulule, Schoolab, . ..";Consultant, trainer and organizer in activism and collective action;9;2021;0;0;['Nonprofit Organization', 'Management'];2;10;0;1;0
15;3;;clever age;Expert PHP : audit, performance, méthodologie autour des développements framework (symfony, Jelix), et CMS (Drupal). Accompagnement dans le développement et formation.;Consultant Expert PHP;9;2009;1;2012;['nan'];999;999;0;1;0
16;3;;;;;0;0;0;0;['nan'];999;999;0;0;0
17;3;;solution interactive;;Lead developer;6;2006;9;2009;['nan'];999;999;0;0;0
18;3;;jolicode;I co-created JoliCode in march 2012 in order to raise the level of quality in web development. The structure is quite new, but we are full of energy and passion!;Web expert;3;2012;0;0;['nan'];999;999;0;0;0
19;3;;;;;0;0;0;0;['nan'];999;999;0;0;0
20;4;;mairie de paris;;Chargée de mission auprès du chef de cabinet du Maire de Paris;0;2008;0;2009;['Computer Software'];11;50;0;0;0
21;4;Paris Metropolitan Region;animafac;;Directrice administrative et financière;10;2009;9;2012;['Computer Software'];11;50;1;0;0
22;4;Paris Metropolitan Region;animafac;Pilotage du projet associatif et des plaidoyers de l'association - Conception de nouveaux projets et coordination de leur mise en œuvre - Gestion des Ressources Humaines et management de l’équipe salariée (14 ETP) - Représentation politique de l’association et relations publiques - Recherche et gestion de partenariats publics et privés.;Déléguée générale;9;2012;1;2017;['Computer Software'];11;50;0;0;0
23;4;;cap collectif;"Key figures : 250 clients / 2,5 M€ CA / 30 ETP. 
Principaux clients : ministères (République numérique, Grand débat national...), collectivités territoriales (+ 100 communes, départements et régions), entreprises (La Poste, EDF, Carrefour, Colas...), associations et fédérations professionnelles.";Directrice du développement commercial ;2;2017;3;2022;['Computer Software'];11;50;1;0;0
24;4;;cap collectif;Pilotage des activités des pôles conseil, communication, conseil et support client de Cap Collectif.;Directrice des opérations;3;2022;0;0;['Computer Software'];11;50;1;0;0
25;5;Paris Metropolitan Region;change.org;;Campaigner;5;2017;5;2018;['Internet'];201;500;0;0;0
26;5;Paris Metropolitan Region;maison bonnemuse;"Sustainable and inclusive jumpsuits that tell the stories of inspiring women
Pre-order FRIDA : ulule.com/maisonbonnemuse";Founder;10;2020;0;0;['Internet'];201;500;0;0;1
27;5;Paris Metropolitan Region;change.org;"Senior campaigner in charge of looking ahead and leading the campaigns in the team to build campaigns that will create systemic change.         
My mission is to run a highly engaging editorial strategy, produce strong content (infographics, pictures, videos) and define creative tactics both online and offline (media, demonstration, stunt, fb live) to drive high engagement to our audience and beyond.
In a daily basis, I work a lot with amazing petition starters and help them create impact with their campaigns!";Senior Campaigner;5;2018;12;2020;['Internet'];201;500;0;0;0
28;5;Paris Metropolitan Region;change.org;;Regional Director( France, Italy, Russia, Spain);9;2022;0;0;['Internet'];201;500;1;0;0
29;5;Paris Metropolitan Region;change.org;;Director, France and Campaigns Support ;9;2021;10;2022;['Internet'];201;500;1;0;0
30;6;Abu Dhabi, United Arab Emirates;unfair magazine;Launched and established the first Abu Dhabi based pan-arab fashion magazine (120 000 copies sold). Closed partnership agreements with the region’s top institutions and advertisers.;Managing Director;1;2009;9;2010;['Information Technology', 'and Services'];2;10;1;0;0
31;6;Istanbul, Dubai;google;"Responsibilities:
- Drive platforms revenue growth in Turkey and MENA region
- Lead new business and global advertisers negotiations
- Manage and empower local sales teams
- Evangelize new technologies and represent platforms at regional industry events";Regional Sales Manager, Media Platforms, MENA & Turkey;11;2012;7;2015;['Information Technology', 'and Services'];2;10;0;0;0
32;6;Paris Metropolitan Region;fluicity;Fluicity provides government agencies with collective intelligence and participation solutions. It is now one of the leading civic technologies in Europe.;Co-Founder & CEO;1;2015;0;0;['Information Technology', 'and Services'];2;10;1;0;1
33;6;Dubai, United Arab Emirates;bbc news;"Responsibilities:
- Produce Middle East Business Report's contents 
- Assist local team of reporters in international interventions
- Manage & coordinate post-production";Producer;8;2008;12;2008;['Information Technology', 'and Services'];2;10;0;0;0
34;6;Paris Metropolitan Region;google;"Responsibilities:
- Build and execute market entrance strategies for doubleclick entrance in new markets
- Lead sales presentations and quarterly business reviews to top accounts in the region 
- Maintain C-level relationships across ecosystem stakeholders 
- Share technology platforms expertise within Google existing infrastructure
- Monitor competitive landscape in the region";Senior Sales Manager, Media Platforms, Emerging Markets;9;2010;12;2012;['Information Technology', 'and Services'];2;10;0;0;0
35;7;Paris Metropolitan Region;fluicity;"Start up de la Civic Tech.  Plateforme numérique de participation citoyenne

-	Développement des partenariats stratégiques ; 
-	Élaboration et pilotage de la stratégie de prospection et d’influence en France ;
-	Responsable commerciale : clients publics (collectivités, Etat, députés, Union Européenne : réponses à marchés publics locaux, nationaux et européens, prospection directe...) et leurs partenaires privés (promoteurs, aménageurs, cabinets de concertation et de conseil…) ;
-	Fonctions transverses : représentation de Fluicity dans des conférences et salons, élaboration des process internes, évolutions produit.
";Responsable du développement;1;2017;5;2019;['Civic', 'Social Organization'];501;1000;0;0;0
36;7;Paris Metropolitan Region;mairie de paris;"Insertion sociale et professionnelle (RSA), insertion par le logement (FSL, accès au logement, prévention des expulsions), urgence sociale, prévention spécialisée 

-	Pilotage fonctionnel de la sous-direction : gestion des finances (450 millions d’euros de budget) et des RH (315 agents dont 230 dans des services de terrain) ; gestion des projets SI ; rapports d’activité ; élaboration et suivi des marchés publics ; suivi des délibérations et des conventions / CPOM ; tarification ;

-	Gestion de grands projets avec une forte dimension partenariale (Pôle Emploi, PLIE, Mission Locale, CAF, DIRECCTE, secteur associatif) : Pacte de lutte contre la grande exclusion, grande cause de la mandature ; Plan Départemental de l’Insertion par l’Emploi ; Contrats aidés ; Financements européens ;

-	Intérim de la sous-directrice.
";Adjointe de la sous directrice en charge de l'insertion et de la solidarité;10;2014;12;2016;['Civic', 'Social Organization'];501;1000;1;0;0
37;7;Paris Metropolitan Region;adie;;Directrice des relations institutionnelles et du plaidoyer;9;2019;0;0;['Civic', 'Social Organization'];501;1000;1;0;0
38;7;;adie;;Directrice générale adjointe;9;2020;0;0;['Civic', 'Social Organization'];501;1000;1;0;0
39;7;;conseil général du nord;"Mise en place d’une démarche globale de suivi et de contrôle des principaux partenaires départementaux :

-	30aine de structures : Etablissements Publics, SEM, SPL, Syndicats Mixtes, Associations intervenant dans les champs du tourisme, du développement économique, de la protection de l’enfance, de l’aménagement et du logement ; 
200 millions d’euros de financement départemental annuel ;

-	pilotage et aide à la décision, audits financiers, évaluations d’activité, gestion des risques financiers, juridiques et politiques, élaboration et suivi de conventions…

Encadrement du service 
";Responsable de service;11;2011;10;2014;['Civic', 'Social Organization'];501;1000;0;0;0
40;8;Paris Metropolitan Region;bluenove;bluenove est une société de technologies et de conseil pionnière en intelligence collective massive et engagée activement dans la civic tech.;Directeur associé - Chief Revenue Officer (CRO);1;2022;0;0;['Management Consulting'];11;50;1;0;0
41;8;Paris Metropolitan Region;bluenove;"bluenove est une société de technologies et de conseil en intelligence collective. 
Chez bluenove, nous portons une conviction : l’organisation de demain est une plateforme d'intelligence et d’action collective qui mobilise efficacement des grands collectifs internes (collaborateurs, managers) et externes (clients, citoyens, partenaires) pour résoudre ses grands défis stratégiques, business, d’innovation et de transformation.  

Je m'occupe de développer les activités business de bluenove en tant que Chief revenue Officer et membre du CODIR.  
 
Data clés :
- Date création : 2008
- Effectif : 45 personnes 
- Nombre de projets réalisés : plus de 300
- Principaux clients : Airbus, Pernod Ricard, Société générale, Crédit Agricole, Michelin, Paris Aéroports, Société du Grand Paris, Caisse des Dépôts, Sodexo, Leclerc, Bel, EDF, Humanis …
- Chiffre d’affaires : 5,6 millions d’euros en 2018 (100% de croissance en 2 ans)
- Budget R&D : 15% du C.A.
 Plus d’informations : www.bluenove.com / suivre sur twitter @bluenove @barbier_maxime
";Directeur associé - Chief Revenue Officer (CRO);1;2018;3;2021;['Management Consulting'];11;50;1;0;0
42;8;Paris Metropolitan Region;en marche;Missions : stratégie d’engagement des réseaux (cadres, militants, société civile), développement de programmes d'engagement des citoyens (plateforme pourunecause.fr);Chef du pôle Engagement;3;2021;12;2021;['Management Consulting'];11;50;0;0;0
43;8;Paris Metropolitan Region;bluenove;"bluenove est le cabinet français leader dans le domaine services et technologies en Open Innovation et Intelligence collective.

Nous accompagnons nos clients, organisations publiques et privées, dans leur stratégie d’innovation et leur mise en œuvre grâce à la détection d’expertises et de partenaires externes (start-up, entrepreneurs sociaux, labos de recherche), l’usage et le déploiement de solutions logicielles collaboratives (logiciel Assembl), le diagnostic des processus d'innovation, l'animation de communautés innovantes (internes, externes, hybrides), la stimulation de l'innovation collaborative interne, etc.

Nous intervenons sur les sujets permettant d’améliorer la performance de l’innovation à travers la mobilisation de l’intelligence collective.

Créés en 2008, bluenove connaît une croissance annuelle de 40%, avec 40 collaborateurs et plus de 200 projets réalisés en France et à l’international.

http://www.bluenove.com et www.assembl.bluenove.com";Manager;8;2015;12;2017;['Management Consulting'];11;50;0;0;0
44;8;Paris Metropolitan Region;secrétariat général pour la modernisation de l'action publique (sgmap);"- Direction de programme d’innovation et de transformation : mise en place et pilotage du laboratoire d’innovation de l’Etat « Futurs Publics », lancement d’appels à projets (Programme d’Investissements d’Avenir), programmes d’amélioration de la relation usager multicanale (« 100% contacts efficaces »),  de la gestion des réclamations et de l’information administrative.

- Gestion de projet : montage de projets innovants de prototypage de services publics du futur, conduite de projet d’amélioration de la relation usagers (ex : réponse apportée par téléphone aux femmes victimes de violences).  

- Développement d’approches participatives et de changement : dispositifs de créativité et co-création, démarches d’innovation participative de plusieurs ministères (Intérieur, Justice, Sécurité Sociale…), module de formation à l’innovation, sites collaboratifs, démarches de consultation (« Innover et simplifier avec les agents publics », concertation nationale sur le numérique pour l’Education).  

- Animation de réseaux et de communautés : pilotage de la communauté inter-administrations des praticiens de l’innovation publique (réseau de 50 référents innovation), organisation d’événements de portée nationale (1ère semaine de l’innovation publique en novembre 2014), conception d’un tiers-lieu d’innovation.

- Développement de partenariats : OCDE (Observatoire de l’innovation dans le secteur public), commission européenne, collectivités (programme Ré.acteur Public), incubateurs et start-up, écoles, associations. 


Autres missions : 
- Représentation de la France à l'OCDE sur les sujets de gouvernance publique et dans les réseaux européens (réseau EUPAN : Conférence sur la qualité des services public à Vilnius en octobre 2013...) 
- Membre du Conseil d'orientation de l'Observatoire Territoria, représentant du SGMAP au Club des directeurs de l'innovation et à Innov'Acteurs";Chef de projet Innovation Publique;10;2012;8;2015;['Management Consulting'];11;50;0;0;0
45;9;Chengdu;le café panam(e);"First Chinese company with foreign investments in Chengdu 
Concerts, exhibitions, workshops, corporate events
Concept and Business Development";Founder and General Manager;1;2006;9;2010;['Civic', 'Social Organization'];2;10;1;0;1
46;9;;civocracy;;Chief Sales Officer (CSO);5;2015;4;2019;['Civic', 'Social Organization'];2;10;0;0;0
47;9;;civocracy;;CEO;4;2019;0;0;['Civic', 'Social Organization'];2;10;1;0;0
48;9;Chengdu, Sichuan Province, China;c&l creative solutions;"Business Development & Communication Strategy Consulting
Concept design (Interior, Object, Furniture and Graphic Design, branding)";Founder and Project Manager;9;2010;1;2014;['Civic', 'Social Organization'];2;10;0;0;1
49;9;Berlin Metropolitan Region;civocracy;"Civocracy is a citizen engagement platform. We envision en world where people collaborate together to solve society's most pressing challenges. Our mission is to enable better citizen, with a purpose-build digital tool.
! We are hiring !";Founder and CEO;3;2015;0;0;['Civic', 'Social Organization'];2;10;1;0;1
50;10;Paris Metropolitan Region;takoma;"J'avais en charge le pôle conception de la Business Unit Communication et Pédagogie de l'agence Takoma. J'apportais mon expérience en conception et UX au sein de l'équipe afin d'optimiser au quotidien la qualité et la pertinence de nos supports.

Quelques références clients Takoma : 
PSA, Renault, Nissan, Toyota, Aviva, Orange, Société Générale, Bouygues, Air Liquide, Danone, ...";Responsable Pôle Conception / UX Design;9;2013;6;2015;['Graphic Design'];0;1;0;0;0
51;10;Paris Metropolitan Region;jerem.io;"⇒ Rendez-vous sur jerem.io pour télécharger mon CV et mon portfolio.

Je travaille dans le product design (UX/UI et UX writing) et la conception depuis 2011 et je suis Product designer freelance depuis 2018. J’ai travaillé auparavant en agence. J’apprécie autant de travailler pour de grands comptes que pour des startups.

Habitué des échanges quotidiens avec PM, PO et développeurs ainsi que des onboardings rapides, je m’adapte vite à vos processus, votre vocabulaire et vos contraintes. Cette habitude me permet de poser les bonnes questions pour être opérationnel immédiatement, quelle que soit la taille de votre entreprise. Je peux également apporter mes propres méthodes.

Voici quelques-unes de mes compétences :

• Product design
• UX et UI design
• UX writing (FR/EN) / conception-rédaction
• Design system
• Prototypage
• Parcours utilisateurs / Customer journey
• Persona
• User stories
• Tests et interviews utilisateurs
• Modélisation 3D
• Mobile, tablette, desktop
• IHM non conventionnelles
• Design XR/AR/VR
• Évangélisation des best practices UX/UI

J’ai un intérêt particulier pour la deeptech où j’ai de nombreuses références dans les secteurs du machine learning, du big data, du digital twin ou encore de la cybersécurité. De manière plus générale, j’apprécie les secteurs complexes et le SAAS B2B même si je suis ouvert à tous types de missions.

J’utilise principalement Figma avec un usage avancé de l’auto-layout, de la library et des variantes de composants, ainsi que des prototypes complexes.

Je travaille en remote mais je peux me déplacer un jour par semaine (deux maximum) pour des réunions ou ateliers sur Paris et l’Île-de-France. I can talk, write and work in English.

N’hésitez pas à me contacter pour que je vous présente mes références plus en détails et que nous discutions de votre projet.";Senior Product Designer Freelance | jerem.io;10;2018;0;0;['Graphic Design'];0;1;0;0;0
52;10;Paris Metropolitan Region;international automotive business;Fondateur d'IAB, designer dans le segment automobile haut de gamme.;Gérant & Designer;8;2008;9;2011;['Graphic Design'];0;1;0;0;0
53;10;;STIG;"CEO et co-fondateur de Stig.

Stig est une application Civic Tech gratuite qui transforme les idées individuelles en volonté générale.
Chaque citoyen peut partager ses idées à l’échelle de la France ou dans sa ville, voter pour ou contre les autres propositions et les améliorer avec des amendements. Stig attribue un score à chaque idée en fonction de son adhésion auprès des citoyens. Ce score permet de classer les idées pour afficher la volonté générale. Les élus peuvent officialiser leur présence sur Stig et ainsi agir en prenant en compte la volonté de leurs administrés.
www.getstig.org";CEO & co-founder;6;2015;12;2018;['Graphic Design'];0;1;1;0;1
54;10;Paris Metropolitan Region;takoma;"Senior et maître d'apprentissage à partir de janvier 2013.

Mon travail au sein de la Business Unit Communication et Pédagogie de Takoma était de réaliser la partie conception et design des réponses aux appels d'offres de nos clients (principalement du secteur automobile), concernant de l'événementiel, de la formation en présentiel, du e-learning et de la communication.

J'avais en charge de trouver les idées et les moyens (contenu, support, technologie, pédagogie) qui permettront à notre Business Unit de remporter ces appels d'offres. J'ai travaillé sur de nombreux projets déployés au niveau européen et mondial, incluant de la réalité augmentée, de nombreuses applications Android et iOS, du Kinect, de la vidéo, du rich media, et même du jeu de société.
Je faisais également partie de la cellule R&D de l'agence.";Product Designer / UX Designer  Senior;1;2011;9;2013;['Graphic Design'];0;1;0;0;0
55;11;Paris Metropolitan Region;VOXE;"De 2016 à 2019, j'ai développé le VoxeBot, le premier chatbot d'actu et d'engagement citoyen destiné aux millennials français. Soutenue par une équipe de 10 personnes, nous avons mené le chatbot à une audience de plus de 60 000 personnes, informées une fois par semaine sur l'actu politique et générale via cette intelligence conversationnelle hébergée sur Facebook messenger qui permettait une retranscription particulièrement pédagogue et ludique. Pendant la campagne présidentielle de 2017, le chatbot + la campagne Hello2017 que nous avons lancé a permis d'informer et de motiver à voter plus de 200 000 jeunes de France, dont une grande partie via le VoxeTour, notre tour de France pour récolter les idées des jeunes à la présidentielle.

En parallèle, nous avons développé un modèle économique de type B to G, et vendions notre savoir-faire à des collectivités locales, telles que la Mairie de Paris ou la Région Occitanie, des administrations centrales telles que la DiAIR, la DG Trésor, le Fonds de Garantie, ou le Ministère de la Santé.    

Dans cette aventure, nous avons notamment été distingués par le Médialab de l'Essec, et incubés par le Facebook Startup Garage, à Station F. J'ai d'ailleurs été lauréate du programme STATION F For femme.";CEO;5;2016;12;2019;['Higher Education'];2;10;1;0;0
56;11;;démocratie ouverte;"Démocratie Ouverte est un réseau d'acteurs de la transition démocratique dont l'objectif est ""d'accélérer la transition démocratique, vers une société plus ouverte"". Le collectif regroupe des citoyens, des collectivités et des organisations civiles impliquées dans des dynamiques de démocratie participative.";Membre du Conseil d'adminstration ;10;2014;8;2016;['Higher Education'];2;10;0;0;0
57;11;;fest france eco sociale tech ;"FEST est un mouvement commun de cette génération entrepreneuriale à impact positif qui transcende les catégories. Nous rassemblons au delà des secteurs d’activités, des statuts, rassemblant entrepreneurs et investisseurs.

";Membre du Board de FEST : France Eco-Sociale Tech;3;2018;1;2020;['Higher Education'];2;10;0;0;0
58;11;Paris Metropolitan Region;VOXE;"Voxe c’est le média d'actu et d'empowerment féminin. Notre mission c'est de construire une génération de femmes puissantes en comblant un trou dans la raquette du paysage médiatique : les femmes s'informent moins que les hommes, notamment parce que les médias actuels sont portés et écrits en majorité par des hommes. Or, un individu moins bien informé, c'est un individu qui a moins de pouvoir, et nous voulons rétablir ce déséquilibre au moment où le monde a besoin d'une société éclairée face aux différentes urgences (climatique par ex) et échéances qui arrivent.
 
* Notre outil phare est une newsletter matinale (à tester gratuitement sur voxe.org) qui réveille déjà plusieurs dizaines de milliers de jeunes actives du lundi au vendredi et décrypte l'actu de la journée en 5 minutes. Cette newsletter gratuite est soutenue par un modèle publicitaire. 
* En bonus, la newsletter donne chaque jour des tips concrets pour se forger une opinion et la faire entendre, au bureau, face à son banquier, dans la vie politique etc. 
* Pour aller plus loin dans cette mission d'empowerment, nous développons des formations sur ce qu'on a pas appris à l'école et comptons déjà plus de 750 formées.


#media #newsletter #femtech";CEO & co-fondatrice;1;2020;0;0;['Higher Education'];2;10;1;0;1
59;11;Paris Metropolitan Region;VOXE;"L'association Voxe.org a créé le premier comparateur de programmes électoraux créé en France pour la présidentielle de 2012. En 2 ans, dans ce rôle de community developper, j'ai créé des antennes bénévoles locales et ai exporté notre outil de comparaison dans 19 pays, sur 4 continents, autour de 26 élections. 

Parmi nos faits d'armes, en France, une très belle résonance médiatique grâce à des partenariats avec le Monde ou Le Figaro, qui nous ont permis de mettre le comparateur dans plus de 2millions de mains. Aux US nous avons développé un partenariat autour des Primaires avec MSNBC et le Washington Post. 

Côté concours, nous avons notamment reçu les récompenses suivantes : UNAOC, l'alliance des civilisations des Nations Unies, le Google Impact Challenge France, les 101 Projets, Dataconnexions.";Community Developper ;5;2014;5;2016;['Higher Education'];2;10;0;0;0
60;12;Nantes Metropolitan Region;ecole webstart;Intervenant sur le framework PHP Symfony pour des étudiants de 3ème année.;Formateur Symfony;12;2021;0;0;['Computer Software'];2;10;0;0;0
61;12;Nantes Metropolitan Region;STIG;"Stig.pro est une application de crowdsourcing sur mobile et ordinateur qui permet d’engager votre communauté en temps réel autour de thèmes que vous avez choisis.

Chaque participant sur Stig.pro peut proposer des idées, voter et améliorer les idées des autres membres.

L’algorithme de Stig.pro attribue une note à chaque idée selon son succès auprès des participants afin de dégager des tendances pour faciliter vos prises de décisions.

Stig.pro fournit des rapports détaillés en temps réel sur les données générées par les participants, que vous pouvez partager en ligne ou exporter.";CTO & Co-fondateur;7;2015;0;0;['Computer Software'];2;10;1;0;1
62;12;Nantes Metropolitan Region;takoma;"Gestion de la production et du déploiement de solutions de formation avec supports multimédias mobiles.

- Plus de 12 000 personnes formées à ce jour avec ces outils.
- Déploiement simultanés de 1400 iPad dans 39 salles de formations au Parc Expo de Lyon en 2013.
- En charge de la transition technique des outils de production interne pour la migration vers des outils totalement conformes W3C.";Responsable technique production et déploiement de formations présentielles;2;2013;7;2017;['Computer Software'];2;10;0;0;0
63;12;Nantes Metropolitan Region;abcdeep;abc_deep_ est une agence spécialisée dans le conseil aux entreprises pour la mise en place de solutions blockchain et l'intégration des NFT dans leurs stratégies de développement et campagnes de communication.;CTO & Co-fondateur;11;2021;0;0;['Computer Software'];2;10;1;0;1
64;12;Nantes Metropolitan Region;sloop;"SLOOP est une agence de solutions digitales, totalement décentralisée, qui offre à ses clients locaux et nationaux, un accompagnement global, de la stratégie à la création, du contenu au développement, du référencement à la maintenance.

L’agence travaille autour de trois axes principaux :
- le développement sur mesure d’applications web à haute valeur ajoutée.
- la création et l'animation de sites vitrines facilement administrables.
- l'influence et la notoriété de ses clients.

Elle développe également une gamme de produits sur étagère pour faciliter le développement commercial des PME et ETI partout en France.";CTO;7;2016;0;0;['Computer Software'];2;10;1;0;0
65;13;;startups;"Account Manager @Tiller, @Privateaser
Content Manager @Supermood, @Privateaser
Digital/PR Consultant @OSCARh";Digital Consultant;0;2016;0;2017;['Computer Software'];51;200;0;1;0
66;13;Berlin Metropolitan Region;sdui;"Sdui EdTech transforms digital education in Europe with its intuitively designed operating system.
I lead the expansion in Belgium and France and manage the related teams.";Team Lead Expansion Belgique France;1;2022;0;0;['Computer Software'];51;200;0;0;0
67;13;Berlin Metropolitan Region;civocracy;"Civocracy CivicTech leverages citizen's collective intelligence to address government challenges.
I led the consulting and sales teams for France.";Country Lead France;9;2019;12;2021;['Computer Software'];51;200;0;0;0
68;13;Paris Metropolitan Region;nousaussi civictech;"By founding Nousaussi, I enabled cities to make more informed, inclusive and democratic decisions. 
Charenton-le-Pont and Issy les Moulineaux, two cities bordering Paris, have experimented the CivicTech solution.";Entrepreneur;10;2018;9;2019;['Computer Software'];51;200;0;0;0
69;13;Paris Metropolitan Region;weglot;"Startup Tech, leading digital solution for multilingual web management. +500% revenue over the period. 
I led the technical and commercial teams in charge of the customer experience.";Head of User Experience;5;2017;10;2018;['Computer Software'];51;200;1;0;0
70;14;Paris Metropolitan Region;livementor;;Head of Product & Academics;6;2018;11;2019;['Computer Software'];2;10;1;0;0
71;14;Paris Metropolitan Region;leto;"Leto automatise la mise en conformité RGPD aux organisations. 

- Leto fait partie des FUTURE 40 de 2023, la sélection des 40 startups de Station F les plus prometteuses en 2023 
- Levée de 1,2M€ en décembre 2022
- Fait partie de la sélection Challenges des 100 startups où investir en 2023 
- Incubé par Cegid, puis BNP Paribas";Co-fondateur @ Leto.legal;4;2021;0;0;['Computer Software'];2;10;0;0;1
72;14;Paris Metropolitan Region;makesense;"J'ai accompagné l'accélération de certains programmes makesense, dont : 
- les programmes en ligne d'engagement citoyens (re_action ...)
- les parcours de formation en ligne des entrepreneurs à impact";COO;10;2020;6;2021;['Computer Software'];2;10;1;0;0
